X2,X3,X4,X6,X13,"Y(1=default, 0=non-default)"
38.33,4.415,2,4,160,1
19.58,0.585,2,1,350,1
39.25,9.5,2,4,240,0
25.75,0.5,2,4,312,0
46.08,3.0,2,4,396,0
19.67,10.0,1,8,140,1
22.25,1.25,1,1,280,1
18.83,3.54,1,1,180,1
64.08,20.0,2,8,0,0
16.5,1.25,2,4,108,1
68.67,15.0,2,9,0,0
76.75,22.29,2,9,0,0
15.92,2.875,2,4,120,1
34.83,4.0,2,5,184,1
47.42,8.0,2,5,375,0
23.17,0.0,2,4,184,0
45.17,1.5,2,4,140,1
15.17,7.0,2,4,600,1
18.83,0.415,1,4,200,1
52.5,6.5,2,4,0,0
19.17,0.0,1,5,500,0
18.0,0.165,2,7,200,0
37.5,0.835,2,4,120,1
22.67,1.585,1,4,80,0
47.83,4.165,2,5,520,1
34.08,2.5,2,4,460,1
33.08,1.625,2,4,0,1
43.08,0.375,1,4,300,0
34.5,4.04,1,5,195,0
42.75,3.0,2,5,0,1
18.25,0.165,2,4,280,1
23.08,2.5,2,1,100,1
22.5,8.46,1,4,164,0
17.92,0.205,2,4,280,1
18.42,10.415,1,4,120,1
27.67,1.5,2,4,368,1
18.92,9.25,1,4,80,0
22.67,0.75,2,4,400,1
62.5,12.75,1,8,112,1
23.5,9.0,2,4,120,0
35.25,3.165,2,8,680,1
56.83,4.25,1,1,0,1
53.33,0.165,2,1,62,1
41.17,4.04,2,8,320,0
42.17,5.04,2,8,92,0
41.17,1.25,1,4,0,1
33.75,0.75,2,5,212,1
25.67,12.5,2,4,140,0
24.33,6.625,1,4,100,0
23.33,11.625,1,4,160,0
30.67,2.5,2,8,340,1
37.17,4.0,2,5,280,1
26.25,1.54,2,4,100,1
29.75,0.665,2,4,300,1
23.0,1.835,2,3,200,1
17.25,3.0,2,4,160,1
29.25,14.79,2,4,168,0
28.58,3.54,2,5,171,1
34.58,0.0,2,4,184,1
23.42,0.585,2,8,180,1
25.0,11.25,2,4,200,0
18.75,7.5,2,4,184,0
17.08,0.25,2,4,160,1
16.08,0.335,2,1,160,1
32.92,2.5,2,4,720,1
20.33,10.0,2,8,50,0
21.75,1.75,1,3,160,1
33.17,1.04,2,8,164,0
25.33,2.085,2,8,360,1
24.75,3.0,2,8,0,0
30.83,0.0,2,4,202,0
20.75,5.085,1,4,140,1
40.33,8.125,1,4,184,1
29.42,1.25,2,8,400,1
40.92,0.5,1,4,130,1
29.5,0.46,2,4,380,0
54.42,0.5,1,8,180,0
34.0,5.5,1,4,60,1
25.0,12.0,2,4,120,1
26.58,2.54,1,1,180,1
33.08,4.625,2,8,0,0
33.67,2.165,2,4,120,1
36.17,5.5,2,5,210,1
19.5,0.29,2,4,280,1
24.17,0.875,2,4,520,0
30.5,6.5,2,5,0,0
20.0,7.0,2,4,0,1
25.33,0.58,2,4,96,0
29.58,4.75,2,4,460,1
43.17,2.25,2,5,560,1
28.75,1.165,2,4,280,1
31.57,3.0,1,5,0,1
20.25,9.96,2,2,0,0
45.0,8.5,2,8,88,0
22.83,2.29,2,8,140,0
20.67,3.0,2,4,100,0
27.83,1.5,2,4,100,1
40.92,2.25,1,8,176,1
56.42,28.0,1,4,0,0
64.08,0.165,2,1,232,0
22.42,11.25,1,8,0,0
24.33,2.5,1,5,200,1
69.5,6.0,2,1,0,1
35.58,0.75,2,4,231,1
48.33,12.0,2,4,110,0
28.08,15.0,1,9,0,0
35.17,2.5,2,4,150,0
49.5,7.585,2,5,0,0
80.25,5.5,2,4,0,1
29.25,13.0,2,8,228,1
16.92,0.5,2,4,240,1
16.0,0.165,2,4,320,1
60.08,14.5,2,1,0,0
28.0,2.0,2,8,181,0
41.5,1.54,2,5,216,0
24.08,9.0,2,4,0,1
24.5,13.335,1,4,120,1
34.75,15.0,2,7,0,0
33.67,1.25,2,4,120,1
40.83,10.0,2,8,29,0
20.42,1.835,2,4,100,0
37.5,1.125,1,4,431,0
48.5,4.25,2,4,225,0
23.0,0.75,2,4,320,1
35.0,3.375,2,8,0,1
16.33,2.75,2,4,80,1
22.67,10.5,2,8,100,0
21.75,11.75,2,4,180,1
25.08,2.54,1,4,370,0
36.33,2.125,1,4,50,0
28.58,3.75,2,4,40,1
22.17,12.125,2,4,180,1
34.17,1.54,2,4,520,0
35.0,2.5,2,4,210,1
28.58,3.625,2,4,100,1
19.17,5.415,2,8,80,1
23.25,1.0,2,4,300,0
16.5,0.125,2,4,132,1
20.08,0.125,2,4,240,0
22.33,11.0,2,4,80,0
34.0,5.085,1,5,480,1
57.08,0.335,2,5,252,1
16.25,0.835,2,4,200,1
32.83,2.5,2,8,160,0
48.25,25.085,2,4,120,0
34.17,2.75,2,5,232,1
18.33,1.21,1,2,100,1
44.25,0.5,2,4,400,1
38.92,1.75,2,4,300,1
31.58,0.75,1,4,320,1
25.08,1.71,2,4,395,0
65.42,11.0,2,9,22,0
41.33,0.0,2,5,0,0
31.25,1.125,2,1,96,1
36.75,4.71,2,1,160,1
32.33,7.5,2,5,420,1
31.92,3.125,2,1,200,1
24.83,2.75,2,4,184,0
21.92,0.54,1,4,840,0
34.25,3.0,2,8,0,0
51.83,3.0,1,1,180,1
31.57,1.5,2,1,200,1
38.42,0.705,2,4,225,1
39.17,1.71,2,4,480,0
18.17,2.46,2,7,160,1
39.0,5.0,2,4,0,0
20.0,11.045,2,4,136,1
32.75,2.335,2,8,292,1
18.58,5.71,2,4,120,1
15.83,7.625,2,4,0,1
39.33,5.875,2,8,399,0
19.58,0.665,2,4,220,1
21.33,10.5,2,4,0,0
22.67,0.75,2,4,200,1
25.67,3.25,2,8,416,1
21.08,10.085,1,8,260,1
49.0,1.5,2,3,100,1
20.67,5.29,2,4,160,1
19.67,0.21,2,8,80,0
21.83,0.25,2,8,0,0
26.83,0.54,2,1,100,1
38.58,5.0,2,4,980,1
50.08,12.54,2,4,156,0
15.75,0.375,2,4,120,1
24.5,12.75,2,5,73,0
21.0,4.79,1,4,80,0
22.08,11.0,2,4,100,0
54.58,9.415,2,1,30,0
18.08,5.5,2,4,80,0
36.67,4.415,1,4,320,0
38.17,10.125,2,4,520,0
21.83,1.54,2,4,356,1
51.92,6.5,2,5,73,1
22.17,2.25,2,4,160,1
52.42,1.5,2,4,0,1
60.92,5.0,2,4,0,0
20.17,5.625,2,4,120,0
23.25,4.0,2,5,160,0
36.17,0.42,1,4,309,1
42.25,1.75,1,4,150,1
23.58,0.835,2,8,220,1
36.0,1.0,2,4,0,0
39.58,5.0,2,1,17,1
18.83,4.415,1,8,240,0
27.25,0.625,2,4,200,1
32.42,3.0,2,4,120,1
19.42,1.5,1,4,100,1
22.58,10.75,2,4,0,0
39.92,6.21,2,4,200,0
22.67,0.165,2,3,0,0
23.42,0.79,1,4,80,0
30.0,5.29,2,2,99,0
40.33,7.54,1,8,0,0
36.75,5.125,2,4,0,0
31.0,2.085,2,4,300,1
25.17,2.875,2,8,360,0
27.42,12.5,2,5,720,1
31.57,4.0,2,4,290,0
34.08,6.5,2,4,443,1
22.08,2.335,2,4,180,1
31.08,3.085,2,4,160,1
31.57,0.5,2,5,320,1
16.0,3.125,2,4,0,1
27.25,1.665,2,8,399,0
25.17,3.0,2,4,0,1
67.75,5.5,2,9,0,0
18.83,9.5,2,4,40,0
27.25,0.29,2,8,272,1
19.58,0.665,1,4,2000,1
30.75,1.585,2,4,0,1
50.25,0.835,2,4,240,1
31.08,1.5,1,4,160,1
51.58,15.0,2,4,0,0
36.58,0.29,2,1,200,1
33.58,2.75,2,4,204,0
20.83,3.0,2,4,100,0
36.17,18.125,2,4,320,1
50.75,0.585,2,1,145,1
23.58,0.83,2,4,200,1
35.17,4.5,2,8,711,0
58.42,21.0,2,5,0,0
28.25,0.875,2,4,396,0
31.57,0.625,2,4,380,1
31.75,3.0,1,3,160,1
19.42,6.5,2,8,80,0
39.08,6.0,2,4,108,0
17.08,3.29,2,4,140,1
44.83,7.0,1,4,160,1
16.25,0.0,1,4,60,1
41.17,6.5,2,4,145,0
28.92,15.0,2,8,0,0
26.17,2.0,2,3,276,1
38.58,3.335,2,4,383,0
25.17,6.0,2,4,0,0
28.17,0.375,2,4,80,0
73.42,17.75,2,1,0,0
22.5,11.5,1,4,0,1
27.17,1.25,2,1,92,1
19.17,8.585,2,8,96,0
25.58,0.0,2,4,184,0
31.57,0.04,1,4,460,1
22.5,8.5,2,4,80,1
22.92,1.25,2,4,120,1
23.25,12.625,2,4,0,1
29.5,1.085,1,4,280,1
32.0,6.0,2,4,272,1
27.0,1.5,1,4,260,0
19.33,10.915,2,5,200,1
35.75,2.415,2,4,220,1
18.83,0.0,2,4,160,1
28.75,3.75,2,4,371,0
34.42,4.25,2,5,274,0
33.25,3.0,1,4,180,1
53.92,9.625,2,4,0,0
25.25,1.0,2,4,200,1
32.42,2.165,1,1,120,1
21.08,5.0,1,1,0,1
56.5,16.0,2,1,0,0
32.25,0.165,1,8,432,0
20.5,11.835,2,8,340,0
30.25,5.5,2,4,100,1
24.58,0.67,2,8,400,1
23.17,11.125,2,8,100,0
31.57,11.25,2,1,184,1
32.33,0.54,2,4,440,0
23.92,1.5,2,8,200,0
36.75,0.125,1,4,232,0
29.83,1.25,1,4,224,1
24.08,0.5,2,8,0,0
21.17,0.25,1,8,280,1
31.42,15.5,2,4,120,1
22.83,3.0,2,4,260,0
37.5,1.75,1,5,164,1
24.83,4.5,2,4,360,1
36.33,3.79,2,4,200,1
47.25,0.75,2,8,333,0
32.08,4.0,1,4,120,1
30.58,10.665,2,8,129,1
27.83,1.54,2,4,100,0
54.83,15.5,2,9,152,1
16.08,0.75,2,4,352,0
24.58,12.5,2,4,260,1
32.67,5.5,2,8,408,0
30.17,0.5,2,4,32,0
22.25,0.46,2,4,280,1
41.75,0.96,2,4,510,0
36.67,2.0,2,4,221,1
25.83,12.835,2,4,0,1
29.92,1.835,2,8,260,0
20.08,0.25,2,4,200,1
19.67,0.375,2,4,80,0
51.42,0.04,2,8,0,0
62.75,7.0,2,9,0,1
40.58,3.29,2,4,400,1
16.33,0.21,2,4,200,1
29.5,0.58,2,4,340,1
34.0,4.5,2,4,240,1
71.58,0.0,2,4,184,0
42.0,0.205,2,8,400,0
22.5,11.0,1,4,268,1
24.42,2.0,2,2,320,1
44.33,0.5,2,8,320,0
23.0,11.75,2,8,300,0
34.42,1.335,2,5,440,1
23.08,11.5,2,4,56,0
25.92,0.875,2,4,174,1
17.58,9.0,2,4,0,0
20.42,1.085,2,4,108,1
31.67,16.165,2,4,250,0
57.58,2.0,2,1,0,1
59.67,1.54,2,4,260,0
65.17,14.0,2,1,0,0
30.08,1.04,1,5,132,1
48.58,6.5,2,8,350,0
23.58,11.5,1,8,20,1
20.17,9.25,2,4,40,0
48.17,7.625,2,8,0,0
23.25,1.5,2,4,0,0
32.25,14.0,1,1,160,1
33.58,0.335,1,4,180,1
23.58,0.46,1,4,208,1
16.92,0.335,1,4,200,1
20.83,8.5,2,4,0,1
60.58,16.5,2,4,21,0
31.57,5.0,1,4,0,1
25.0,12.33,2,8,400,0
21.5,9.75,2,4,140,1
20.42,0.0,2,4,184,1
25.25,13.5,1,1,200,1
42.83,4.625,2,4,0,0
26.67,1.75,1,4,160,0
57.83,7.04,2,4,360,0
55.92,11.5,2,1,0,0
51.33,10.0,2,5,0,0
39.83,0.5,2,4,288,1
27.58,2.04,1,4,370,0
30.17,6.5,2,4,330,0
51.83,2.04,1,1,120,1
25.0,11.0,1,4,120,1
29.67,0.75,1,4,240,1
33.67,0.375,2,4,300,0
25.75,0.75,2,5,349,0
28.67,1.04,2,4,300,0
18.08,0.375,3,1,300,0
20.42,7.0,2,4,200,0
17.5,22.0,3,7,450,0
18.08,6.75,1,4,140,1
47.67,2.5,2,5,410,0
57.42,8.5,2,8,0,0
13.75,4.0,1,4,120,0
19.33,9.5,2,4,60,0
21.92,11.665,2,8,320,1
17.58,10.0,2,8,120,1
34.83,2.5,1,4,200,1
29.17,3.5,2,4,329,1
21.42,0.75,1,7,132,1
18.17,10.25,2,8,320,1
28.0,3.0,2,4,300,1
45.83,10.5,2,4,0,0
22.75,11.5,2,4,0,1
31.57,3.5,2,4,300,1
20.42,7.5,2,4,160,0
21.25,2.335,2,5,80,0
26.67,4.25,2,4,120,0
27.33,1.665,2,1,340,1
42.08,1.04,2,4,500,0
18.25,10.0,2,4,120,1
28.5,1.0,2,4,167,1
21.5,6.0,2,4,80,0
21.83,11.0,2,4,121,0
21.92,0.5,2,4,360,1
32.67,9.0,1,8,154,0
45.33,1.0,2,4,263,1
23.58,0.585,1,1,120,1
17.92,0.54,2,4,80,1
33.0,2.5,1,4,280,1
22.67,0.335,2,4,160,1
34.67,1.08,2,4,28,1
29.67,1.415,2,8,240,0
31.83,2.5,2,4,523,1
20.67,1.835,2,4,220,0
33.75,2.75,2,5,180,1
22.08,0.83,2,8,128,0
35.42,12.0,2,8,0,0
31.92,4.46,2,8,311,0
22.67,0.79,2,4,144,1
26.67,14.585,2,5,178,1
44.0,2.0,2,4,0,0
30.17,1.085,1,4,170,1
37.75,7.0,2,8,300,1
17.08,0.085,1,4,140,1
49.17,2.29,2,1,200,1
22.92,0.17,2,4,0,1
34.83,1.25,1,8,160,1
44.25,11.0,1,4,0,1
59.5,2.75,2,4,60,0
25.5,0.375,2,4,260,0
41.58,1.04,2,4,240,1
49.58,19.0,2,1,94,1
33.92,1.585,1,1,320,1
19.17,4.0,1,4,360,1
24.5,2.415,1,4,120,1
23.33,1.5,2,8,422,0
69.17,9.0,2,1,70,1
47.67,0.29,2,5,0,0
33.25,2.5,1,4,0,1
43.25,3.0,2,8,80,0
23.0,0.625,1,4,180,1
34.75,2.5,2,5,348,1
56.58,18.5,2,5,0,0
44.17,6.665,2,4,0,0
44.33,0.0,2,4,0,0
34.25,1.75,2,5,163,1
45.0,4.585,2,8,240,1
30.58,2.71,1,4,80,1
27.67,0.75,2,8,220,1
19.42,7.25,2,4,100,1
41.33,1.0,2,5,0,0
23.5,1.5,2,4,160,1
31.67,0.83,2,4,303,0
17.83,11.0,2,8,0,0
33.17,2.25,1,4,200,1
52.5,7.0,2,8,0,1
25.42,1.125,2,4,200,1
40.58,1.5,2,5,300,1
23.92,0.585,1,8,240,1
56.0,12.5,2,8,24,0
28.5,3.04,1,8,70,0
32.08,4.0,2,4,360,0
21.17,0.875,1,8,280,1
34.17,9.17,2,4,0,0
43.25,25.21,2,8,760,1
38.25,6.0,2,4,0,0
37.42,2.04,2,4,400,0
29.83,2.04,1,8,128,1
37.33,2.665,2,4,0,1
31.33,19.5,2,4,0,0
36.08,2.54,2,1,0,1
20.5,2.415,2,4,200,0
47.17,5.835,2,4,465,1
22.0,7.835,1,5,184,1
20.5,10.0,1,4,40,0
34.92,2.5,2,4,239,0
24.08,0.875,2,4,254,1
37.33,6.5,2,8,93,0
20.75,9.54,2,4,200,1
36.67,3.25,2,8,102,0
22.58,10.04,2,4,60,0
26.92,13.5,2,8,0,0
46.67,0.46,2,8,440,0
52.17,0.0,1,1,0,1
39.17,2.5,1,8,200,1
39.17,1.625,2,4,186,0
27.67,2.04,2,4,180,1
19.17,9.5,2,4,120,0
39.5,4.25,2,5,117,0
36.42,0.75,1,4,240,1
26.17,0.25,2,5,0,0
39.42,1.71,1,4,400,1
41.92,0.42,2,8,220,0
21.33,7.5,2,4,80,0
20.08,1.25,2,4,0,1
27.58,3.0,2,4,280,1
21.58,0.79,1,4,160,1
28.25,5.125,2,4,420,0
26.92,2.25,2,5,640,1
18.42,9.25,2,4,60,0
23.25,5.875,2,4,120,0
23.58,1.79,2,4,136,1
28.33,5.0,2,4,70,0
25.67,2.21,1,4,188,1
28.58,1.665,2,4,440,1
22.92,3.165,1,4,160,1
24.5,1.04,1,1,180,1
24.75,0.54,2,4,120,1
32.0,1.75,1,8,393,0
48.08,3.75,2,5,100,1
28.42,3.5,2,4,280,0
25.42,0.54,2,4,272,1
18.58,10.29,2,1,80,1
21.67,1.165,1,4,180,1
24.58,1.25,2,4,110,1
16.33,4.085,2,8,120,1
26.75,2.0,2,4,80,1
48.17,3.5,2,4,230,0
23.5,2.75,2,1,160,1
41.0,2.04,1,8,455,0
35.17,25.125,2,8,515,0
23.75,12.0,2,4,80,1
18.67,5.0,2,4,0,1
30.33,0.5,2,8,252,1
19.75,0.75,2,4,140,1
26.17,0.835,2,4,100,1
28.75,1.5,1,4,0,1
28.67,9.335,2,8,381,0
26.0,1.0,2,4,280,0
23.5,3.165,1,4,280,1
26.33,13.0,2,2,140,1
54.33,6.75,2,8,0,0
31.57,0.375,2,4,928,1
25.25,12.5,2,4,180,1
33.17,3.165,1,4,380,0
39.5,1.625,2,4,0,1
17.67,0.0,1,1,86,1
23.92,0.665,2,4,100,0
26.67,2.71,1,4,211,0
22.5,0.415,2,4,144,1
39.92,0.54,1,4,200,0
26.08,8.665,2,4,160,0
20.0,0.0,2,4,144,1
31.57,4.0,1,4,411,1
26.75,4.5,1,5,200,1
24.92,1.25,2,1,80,1
32.25,1.5,2,4,372,1
17.67,4.46,2,4,80,1
37.75,5.5,2,4,228,0
22.67,2.54,1,8,0,0
17.92,10.21,2,1,0,1
24.42,12.335,2,8,120,0
25.75,0.5,2,8,491,0
26.17,12.5,1,8,0,1
22.75,6.165,2,4,220,1
23.0,0.75,2,4,320,1
25.67,0.29,1,4,160,1
48.58,0.205,1,4,380,0
21.17,0.0,2,4,0,1
35.25,16.5,1,4,80,1
22.92,11.585,2,4,80,0
48.17,1.335,2,7,0,1
43.0,0.29,1,8,100,0
31.57,10.5,2,4,0,0
20.67,0.415,2,4,0,1
18.83,9.54,2,4,100,0
27.42,14.5,2,8,120,0
41.0,0.04,2,4,560,0
